dane_code,year,poblacion_5_16,tasa_matricula_5_16,cobertura_neta,cobertura_bruta,desercion,aprobacion
19693,2021,1899.0,59.77,59.77,66.67,1.9,93.21
19693,2022,1901.0,56.86,56.86,63.7,2.56,89.51
19693,2023,1893.0,53.72,53.72,59.9,2.89,91.6
19698,2019,21593.0,90.83,90.79,106.53,2.64,88.41
19698,2020,21464.0,93.72,93.69,104.38,1.44,84.9
19698,2021,21329.0,94.48,94.45,106.15,3.57,85.69
19698,2022,21112.0,96.47,96.4,110.18,3.59,88.32
19698,2023,21045.0,98.44,98.4,113.84,3.72,88.17
19701,2019,1160.0,80.6,80.6,89.48,2.86,89.25
19701,2020,1148.0,80.49,80.49,87.28,1.1,98.4
19701,2021,1141.0,81.95,81.95,89.48,2.25,88.64
19701,2022,1146.0,80.02,80.02,87.87,3.28,92.25
19701,2023,1147.0,74.98,74.98,81.95,1.38,96.59
19743,2019,8409.0,70.4,70.4,80.32,2.25,88.55
19743,2020,8357.0,71.72,71.72,80.88,2.23,87.38
19743,2021,832.0,72.76,72.76,81.81,3.53,87.66
19743,2022,8417.0,71.87,71.87,81.36,2.98,88.6
19743,2023,8411.0,76.78,76.78,87.24,3.7,89.2
19760,2019,2544.0,59.67,59.67,74.25,2.09,93.21
19760,2020,2522.0,58.68,58.68,64.79,1.68,95.96
19760,2021,2501.0,59.58,59.58,65.17,1.84,90.55
19760,2022,2502.0,54.68,54.68,60.39,2.08,93.15
19760,2023,2494.0,50.84,50.84,55.61,3.33,89.66
19780,2019,7197.0,58.0,58.0,65.51,3.09,91.6
19780,2020,7150.0,58.81,58.81,62.77,2.53,95.64
19780,2021,7106.0,63.23,63.23,70.66,1.86,90.6
19780,2022,7073.0,65.22,65.22,74.47,5.14,88.83
19780,2023,7057.0,65.99,65.99,74.54,3.77,91.54
19785,2019,1814.0,53.69,53.69,62.4,1.23,92.8
19785,2020,1797.0,54.42,54.42,59.6,1.12,95.14
19785,2021,178.0,53.82,53.82,67.42,2.42,88.21
19785,2022,1754.0,52.74,52.74,61.69,4.73,88.72
19785,2023,1741.0,47.96,47.96,55.77,1.9,95.08
19807,2019,6398.0,85.09,85.07,101.78,2.34,91.78
19807,2020,6346.0,84.08,84.08,95.13,1.64,93.14
19807,2021,6295.0,85.29,85.29,94.5,2.79,88.34
19807,2022,6239.0,85.3,85.3,96.49,3.61,90.61
19807,2023,6203.0,83.94,83.94,95.87,3.15,89.55
19809,2019,7588.0,78.84,78.84,108.47,1.8,92.28
19809,2020,7561.0,76.68,76.68,99.64,0.52,95.44
19809,2021,7543.0,80.1,80.1,106.34,0.73,91.14
19809,2022,7601.0,78.15,78.15,106.54,2.41,85.48
19809,2023,7624.0,74.62,74.62,103.19,1.98,86.09
19821,2019,8560.0,72.09,72.09,85.06,4.6,89.72
19821,2020,8589.0,70.04,70.04,75.82,2.33,95.13
19821,2021,8543.0,73.28,73.28,84.58,4.19,89.32
19821,2022,8332.0,75.28,75.28,88.0,5.39,88.03
19821,2023,8326.0,74.39,74.39,84.46,4.74,89.45
19824,2019,5993.0,66.59,66.59,73.27,2.7,88.41
19824,2020,6015.0,66.73,66.73,72.34,2.81,86.59
19824,2021,5984.0,66.84,66.84,72.41,4.51,85.5
19824,2022,5927.0,66.44,66.44,72.23,3.46,87.68
19824,2023,5924.0,64.65,64.65,70.12,3.93,84.91
19845,2019,4073.0,71.81,71.81,91.87,2.8,93.2
19845,2020,4066.0,76.14,76.14,85.42,1.47,93.33
19845,2021,4043.0,77.2,77.2,85.88,3.23,89.69
19845,2022,3979.0,79.69,79.44,88.59,3.52,88.98
19845,2023,3958.0,78.85,78.85,86.84,2.84,86.29
