year_of_incident,dept_mpio_code,victim_fisc_amenazas,victim_fisc_delitos_sexuales,victim_fisc_desaparicion_forzada,victim_fisc_desplazamiento,victim_fisc_estafa,victim_fisc_extorsion,victim_fisc_hurto,victim_fisc_personas_bienes_dih,victim_fisc_reclutamiento_ilicito,victim_fisc_violencia_intrafamiliar,victim_fisc_corrupcion,victim_fisc_homicidios,victim_fisc_lesiones_personales,victim_fisc_secuestro,victim_fisc_otros_delitos
2020,19513,30.0,5.0,0.0,0.0,6.0,0.0,44.0,0.0,0.0,4.0,2.0,11.0,23.0,2.0,24.0
2020,19517,60.0,21.0,3.0,59.0,0.0,5.0,18.0,0.0,42.0,30.0,0.0,31.0,20.0,0.0,29.0
2020,19532,49.0,24.0,4.0,11.0,8.0,7.0,72.0,0.0,3.0,34.0,6.0,71.0,75.0,0.0,88.0
2020,19533,6.0,11.0,0.0,9.0,2.0,0.0,6.0,0.0,0.0,3.0,3.0,14.0,4.0,0.0,18.0
2020,19548,38.0,30.0,0.0,2.0,14.0,15.0,84.0,0.0,3.0,67.0,9.0,39.0,85.0,1.0,123.0
2020,19573,117.0,37.0,3.0,4.0,33.0,7.0,294.0,0.0,0.0,93.0,13.0,73.0,162.0,2.0,269.0
2020,19585,12.0,6.0,0.0,0.0,1.0,1.0,14.0,0.0,0.0,2.0,0.0,7.0,13.0,1.0,25.0
2020,19622,5.0,8.0,0.0,1.0,3.0,1.0,29.0,1.0,0.0,11.0,0.0,62.0,54.0,0.0,34.0
2020,19693,2.0,4.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,14.0,5.0,4.0,4.0,1.0,14.0
2020,19698,198.0,77.0,20.0,11.0,52.0,48.0,482.0,1.0,1.0,212.0,18.0,183.0,281.0,1.0,457.0
2020,19701,8.0,2.0,1.0,2.0,0.0,2.0,4.0,0.0,0.0,5.0,0.0,6.0,10.0,0.0,2.0
2020,19743,10.0,6.0,0.0,0.0,22.0,10.0,16.0,0.0,0.0,47.0,2.0,2.0,30.0,0.0,40.0
2020,19760,65.0,9.0,1.0,55.0,3.0,2.0,31.0,0.0,0.0,17.0,0.0,6.0,73.0,53.0,63.0
2020,19780,66.0,13.0,5.0,15.0,4.0,0.0,16.0,0.0,5.0,18.0,5.0,52.0,21.0,0.0,41.0
2020,19785,29.0,7.0,0.0,4.0,0.0,1.0,3.0,0.0,0.0,5.0,0.0,4.0,4.0,0.0,6.0
2020,19807,25.0,39.0,1.0,15.0,22.0,8.0,122.0,0.0,0.0,50.0,1.0,40.0,95.0,1.0,126.0
2020,19809,13.0,4.0,1.0,2.0,2.0,0.0,3.0,0.0,6.0,5.0,2.0,29.0,5.0,0.0,16.0
2020,19821,79.0,14.0,10.0,11.0,3.0,2.0,13.0,1.0,8.0,26.0,2.0,25.0,7.0,3.0,25.0
2020,19824,67.0,12.0,0.0,7.0,4.0,5.0,30.0,0.0,0.0,13.0,0.0,12.0,37.0,3.0,44.0
2020,19845,19.0,12.0,0.0,0.0,8.0,2.0,119.0,0.0,0.0,54.0,2.0,47.0,44.0,0.0,74.0
2021,19001,818.0,354.0,26.0,33.0,1097.0,139.0,8106.0,1.0,4.0,1592.0,259.0,396.0,1730.0,10.0,3493.0
2021,19022,0.0,9.0,0.0,4.0,8.0,4.0,10.0,0.0,0.0,33.0,39.0,9.0,19.0,0.0,50.0
2021,19050,381.0,17.0,185.0,413.0,4.0,4.0,14.0,233.0,10.0,21.0,0.0,123.0,59.0,168.0,581.0
2021,19075,6.0,15.0,0.0,3.0,7.0,3.0,22.0,4.0,2.0,24.0,0.0,28.0,14.0,0.0,17.0
2021,19100,8.0,18.0,0.0,2.0,6.0,1.0,25.0,0.0,0.0,20.0,1.0,38.0,39.0,0.0,34.0
2021,19110,1294.0,24.0,7.0,1275.0,6.0,418.0,440.0,421.0,5.0,25.0,418.0,70.0,441.0,0.0,2263.0
2021,19130,423.0,32.0,3.0,286.0,24.0,278.0,202.0,130.0,130.0,75.0,2.0,160.0,90.0,0.0,283.0
2021,19137,148.0,12.0,1.0,14.0,33.0,5.0,80.0,1.0,13.0,18.0,5.0,51.0,44.0,1.0,122.0
2021,19142,124.0,12.0,5.0,53.0,30.0,2.0,125.0,22.0,4.0,70.0,1.0,54.0,60.0,20.0,244.0
2021,19212,68.0,11.0,13.0,54.0,7.0,15.0,137.0,17.0,8.0,18.0,5.0,76.0,29.0,15.0,131.0
2021,19256,72.0,51.0,13.0,32.0,12.0,20.0,83.0,4.0,10.0,29.0,4.0,100.0,71.0,2.0,117.0
2021,19290,4.0,4.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,2.0,0.0,29.0,19.0,0.0,12.0
2021,19300,30.0,16.0,0.0,3.0,12.0,2.0,329.0,0.0,0.0,65.0,2.0,36.0,63.0,1.0,1100.0
2021,19318,17.0,29.0,9.0,25.0,13.0,6.0,2.0,2.0,2.0,17.0,3.0,24.0,17.0,0.0,33.0
2021,19355,45.0,24.0,0.0,5.0,10.0,16.0,55.0,3.0,1.0,40.0,0.0,19.0,36.0,7.0,99.0
2021,19364,39.0,11.0,3.0,6.0,7.0,7.0,4.0,2.0,0.0,10.0,0.0,6.0,9.0,0.0,23.0
2021,19392,17.0,10.0,0.0,0.0,3.0,0.0,19.0,0.0,0.0,23.0,4.0,12.0,30.0,1.0,44.0
2021,19397,27.0,4.0,0.0,8.0,4.0,4.0,7.0,0.0,0.0,62.0,27.0,14.0,37.0,0.0,102.0
2021,19418,5.0,3.0,3.0,8.0,2.0,3.0,4.0,0.0,0.0,9.0,1.0,6.0,1.0,4.0,6.0
2021,19450,20.0,4.0,3.0,4.0,6.0,9.0,73.0,0.0,0.0,24.0,4.0,36.0,43.0,0.0,50.0
2021,19455,173.0,19.0,7.0,24.0,26.0,10.0,215.0,3.0,2.0,70.0,5.0,56.0,119.0,1.0,428.0
2021,19473,42.0,14.0,1.0,27.0,7.0,4.0,50.0,0.0,9.0,31.0,1.0,36.0,10.0,7.0,62.0
2021,19513,15.0,5.0,0.0,0.0,3.0,0.0,65.0,1.0,0.0,12.0,1.0,13.0,27.0,0.0,75.0
2021,19517,52.0,17.0,2.0,27.0,6.0,5.0,67.0,0.0,7.0,23.0,0.0,38.0,22.0,6.0,54.0
2021,19532,73.0,25.0,9.0,7.0,22.0,13.0,142.0,10.0,2.0,55.0,2.0,104.0,91.0,1.0,112.0
2021,19533,25.0,19.0,2.0,22.0,5.0,1.0,5.0,0.0,0.0,7.0,1.0,3.0,6.0,0.0,9.0
2021,19548,38.0,44.0,2.0,13.0,38.0,20.0,180.0,0.0,4.0,103.0,12.0,56.0,106.0,4.0,170.0
2021,19573,124.0,39.0,2.0,4.0,68.0,4.0,585.0,0.0,0.0,130.0,6.0,112.0,204.0,1.0,290.0
2021,19585,23.0,2.0,0.0,0.0,3.0,2.0,21.0,0.0,0.0,15.0,0.0,13.0,31.0,0.0,43.0
2021,19622,7.0,7.0,1.0,5.0,4.0,3.0,58.0,0.0,0.0,33.0,0.0,4.0,36.0,0.0,40.0
2021,19693,4.0,2.0,0.0,1.0,1.0,1.0,7.0,0.0,0.0,6.0,2.0,10.0,11.0,0.0,18.0
2021,19698,730.0,102.0,18.0,239.0,118.0,54.0,774.0,1.0,4.0,194.0,22.0,238.0,348.0,99.0,768.0
2021,19701,6.0,1.0,0.0,8.0,4.0,1.0,7.0,0.0,0.0,4.0,1.0,6.0,6.0,0.0,16.0
2021,19743,14.0,12.0,0.0,0.0,13.0,5.0,40.0,0.0,2.0,40.0,4.0,8.0,63.0,4.0,60.0
2021,19760,32.0,5.0,1.0,1.0,1.0,5.0,34.0,0.0,1.0,29.0,2.0,9.0,9.0,0.0,38.0
2021,19780,34.0,12.0,1.0,16.0,8.0,4.0,42.0,0.0,1.0,23.0,0.0,63.0,46.0,0.0,76.0
2021,19785,7.0,2.0,0.0,9.0,5.0,1.0,6.0,0.0,0.0,3.0,0.0,3.0,4.0,0.0,10.0
2021,19807,62.0,30.0,1.0,9.0,23.0,11.0,219.0,0.0,0.0,84.0,2.0,32.0,109.0,3.0,138.0
2021,19809,12.0,9.0,8.0,23.0,2.0,1.0,7.0,0.0,4.0,8.0,1.0,18.0,10.0,0.0,22.0
2021,19821,143.0,23.0,10.0,13.0,7.0,1.0,15.0,14.0,29.0,40.0,0.0,29.0,9.0,4.0,89.0
2021,19824,27.0,18.0,0.0,1.0,9.0,4.0,42.0,0.0,0.0,15.0,1.0,13.0,30.0,0.0,170.0
2021,19845,47.0,27.0,1.0,1.0,17.0,0.0,296.0,0.0,0.0,40.0,6.0,39.0,68.0,5.0,134.0
2022,19001,1083.0,357.0,17.0,67.0,1384.0,201.0,12711.0,0.0,14.0,1602.0,155.0,443.0,2091.0,21.0,3942.0
2022,19022,18.0,4.0,0.0,12.0,3.0,4.0,2.0,0.0,0.0,14.0,0.0,13.0,12.0,0.0,35.0
2022,19050,121.0,40.0,7.0,174.0,58.0,11.0,28.0,30.0,13.0,9.0,1.0,60.0,20.0,2.0,112.0
2022,19075,13.0,14.0,1.0,31.0,5.0,4.0,30.0,1.0,2.0,10.0,1.0,32.0,17.0,2.0,30.0
2022,19100,24.0,14.0,0.0,15.0,16.0,5.0,31.0,0.0,0.0,36.0,3.0,46.0,29.0,4.0,70.0
2022,19110,726.0,14.0,288.0,1204.0,2.0,302.0,51.0,23.0,315.0,18.0,1.0,86.0,24.0,288.0,1521.0
2022,19130,94.0,53.0,1.0,39.0,27.0,10.0,131.0,0.0,4.0,72.0,1.0,41.0,78.0,4.0,134.0
2022,19137,189.0,22.0,4.0,16.0,34.0,20.0,53.0,0.0,7.0,34.0,1.0,50.0,56.0,0.0,67.0
2022,19142,233.0,11.0,4.0,101.0,111.0,14.0,154.0,1.0,18.0,70.0,0.0,51.0,129.0,5.0,244.0
2022,19212,81.0,14.0,4.0,66.0,14.0,11.0,92.0,2.0,8.0,18.0,0.0,54.0,37.0,1.0,92.0
